Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
"Peacock, M; Audet, J; Bastviken, D; Cook, S; Evans, CD; Grinham, A; Holgerson, MA; Högbom, L; Pickard, AE; Zielinski, P; Futter, MN",Small artificial waterbodies are widespread and persistent emitters of methane and carbon dioxide,2021,GLOBAL CHANGE BIOLOGY,Sweden,60.265,17.617,Intensive ditch survey,1,April to December 2018,Every 2 to 5 weeks (11 campaigns),22.5,8,510,NA,Hemiboreal,1.6,0.11,minimal/absent,NA,NA,Forest,Organic (peat),Hypertrophic,Perennial,Chamber,4420.5,8.14,55,NA,Annual emissions reported by authors. Ebullition converted from mg CH4 m-2 d-1 * 1e-3 mg to g * 214 ice-free days,5.64,7.04,742.9,88.3,2.215,NA,NA,NA,NA,Temperature data is for 2018 (not historic). Water flow rates were minimal/absent. CH4 ebullition is an average from 10 sites
"Peacock, M; Audet, J; Bastviken, D; Cook, S; Evans, CD; Grinham, A; Holgerson, MA; Högbom, L; Pickard, AE; Zielinski, P; Futter, MN",Small artificial waterbodies are widespread and persistent emitters of methane and carbon dioxide,2021,GLOBAL CHANGE BIOLOGY,Sweden,60.178,17.595,Intensive ditch survey,1,April to December 2018,Every 2 to 5 weeks (11 campaigns),22.5,8,510,NA,Hemiboreal,2.4,0.37,minimal/absent,NA,NA,Forest,Mineral (sandy till),Hypertrophic,Intermittently dry,Chamber,1465.6,1.53,55,NA,Annual emissions reported by authors. Ebullition converted from mg CH4 m-2 d-1 * 1e-3 mg to g * 214 ice-free days,4.64,7.23,442.5,19.6,0.246,NA,NA,NA,NA,Temperature data is for 2018 (not historic). Water flow rates were minimal/absent. CH4 ebullition is an average from 10 sites
"Peacock, M; Audet, J; Bastviken, D; Cook, S; Evans, CD; Grinham, A; Holgerson, MA; Högbom, L; Pickard, AE; Zielinski, P; Futter, MN",Small artificial waterbodies are widespread and persistent emitters of methane and carbon dioxide,2021,GLOBAL CHANGE BIOLOGY,Sweden,59.817,17.661,Intensive ditch survey,2,April to December 2018,Every 2 to 5 weeks (11 campaigns),22.5,8,510,NA,Hemiboreal,4.25,0.27,minimal/absent,NA,NA,Urban,Mineral (clay),Hypertrophic,Perennial,Chamber,296.24,4.52,55,NA,Annual emissions reported by authors. Ebullition converted from mg CH4 m-2 d-1 * 1e-3 mg to g * 214 ice-free days,5.77,7.92,853.59,7.63,0.595,NA,NA,NA,NA,Temperature data is for 2018 (not historic). Water flow rates were minimal/absent. CH4 ebullition is an average from 10 sites
"Peacock, M; Ridley, LM; Evans, CD; Gauci, V",Management effects on greenhouse gas dynamics in fen ditches,2017,SCIENCE OF THE TOTAL ENVIRONMENT,England,52.31,0.28,Semi-natural fen,1,March to October 2015,"4 campaigns (March, May, August, October)",3,10.1,574,NA,Temperate,2.37,0.77,low/absent,NA,Yes-emergent vegetation and algae,Agriculture,Organic (peat),Mesotrophic,Perennial,"Chamber (CO2, CH4) Concentration (N2O)",1100,37.8,NA,2.63,"Annual emissions of CO2 and CH4 reported by authors. N2O flux estimated from relationship with concentration (Reay et al 2013), and converted from ug N2O m-2 h-1 * 1e-6 * 24h/d *365 d/y",NA,7.7,900.75,30.6,NA,NA,7.5,NA,NA,"Low or absent water flow rates. Evans et al 2016 call this a low nutrient fen, but also report inputs of nutrient enriched river water--trophic and hydrological status from Peacock et al 2021 Widths from Google Earth"
"Peacock, M; Ridley, LM; Evans, CD; Gauci, V",Management effects on greenhouse gas dynamics in fen ditches,2017,SCIENCE OF THE TOTAL ENVIRONMENT,England,52.3,0.29,Grassland,1,March to October 2015,"4 campaigns (March, May, August, October)",0,10.1,574,NA,Temperate,2.86,0.24,low/absent,NA,Yes-emergent vegetation and algae,Agriculture,Organic (peat),Mesotrophic,Perennial,"Chamber (CO2, CH4) Concentration (N2O)",1170,18.3,NA,1.84,"Annual emissions of CO2 and CH4 reported by authors. N2O flux estimated from relationship with concentration (Reay et al 2013), and converted from ug N2O m-2 h-1 * 1e-6 * 24h/d *365 d/y",NA,7.7,1250.25,29.1,NA,NA,8.05,NA,NA,Low or absent water flow rates. Noted in Evans et al 2016 to periodically receive nutrient enriched river water--trophic and hydrological status from Peacock et al 2021. They also note the histosol (peat) status of the soil is debatable. Widths from Google Earth
"Peacock, M; Ridley, LM; Evans, CD; Gauci, V",Management effects on greenhouse gas dynamics in fen ditches,2017,SCIENCE OF THE TOTAL ENVIRONMENT,England,52.52,0.49,Cropland,1,March to October 2015,"4 campaigns (March, May, August, October)",2,10.1,574,NA,Temperate,1.89,0.33,low/absent,NA,Yes-algae,Agriculture,Organic (peat),Eutrophic,Perennial,"Chamber (CO2, CH4) Concentration (N2O)",1440,27.2,NA,10.07,"Annual emissions of CO2 and CH4 reported by authors. N2O flux estimated from relationship with concentration (Reay et al 2013), and converted from ug N2O m-2 h-1 * 1e-6 * 24h/d *365 d/y",NA,7.4,1063.25,21.53,NA,NA,9.55,NA,NA,Low or absent water flow rates. Trophic status assumed eutrophic due to the agricultural activities at the site--confirmed from Peacock et al 2021. Hydrological regime never dry from Peacock et al 2021. Widths from Google Earth.
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, mineral soil, no veg forest ditches",38,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.07,0,NA,NA,No,Forest (plantation),Mineral,NA,Intermittently dry,Chamber,1224.1,0.07,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, mineral soil, vegetated forest ditches",18,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,0.94,0,NA,NA,Yes,Forest (plantation),Mineral,NA,Intermittently dry,Chamber,599.7,-0.01,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, organic soil, no veg forest ditch",1,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,0.9,0,NA,NA,No,Forest (plantation),Organic,NA,Intermittently dry,Chamber,338.17,-0.01,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, organic soil, vegetated forest ditch",1,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.3,0,NA,NA,Yes,Forest (plantation),Organic,NA,Intermittently dry,Chamber,-24.87,-0.003,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Water-filled, mineral soil, no veg forest ditches",22,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.68,0.11,NA,NA,No,Forest (plantation),Mineral,Hypertrophic,Perennial,Chamber,1457.19,8.66,211.52,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,6.93,156.65,23.45,0.18,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Water-filled, mineral soil, vegetated forest ditches",27,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.51,0.06,NA,NA,Yes,Forest (plantation),Mineral,Hypertrophic,Perennial,Chamber,1221.26,18.61,126.32,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,6.82,152.18,24.53,0.27,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Water-filled, organic, no veg forest ditches",2,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,2.33,0.36,NA,NA,No,Forest (plantation),Organic,Eutrophic,Perennial,Chamber,969.73,3.73,378.95,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,7.49,233.1,26.97,0.04,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Pelsma, KAJ; Verhagen, DAM; Dean, JF; Jetten, MSM; Welte, CU",Methanotrophic potential of Dutch canal wall biofilms is driven by Methylomonadaceae,2023,FEMS MICROBIOLOGY ECOLOGY,Netherlands,52.514361,6.090667,"Freshwater canals (Leiden, Zwolle)",9,March to July 2022,Once,0,10.7,844,NA,Temperate,25.94,NA,NA,NA,Yes-plants and biofilm,Urban,Mineral,Hypertrophic,Perennial (assumed),Chamber,1441.61,3.19,NA,NA,Converted from mmol CO2/CH4 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g CO2 (or 16.04 g CH4) * 365 d/y,8.88,7.81,651.67,NA,NA,2.8,5.58,NA,NA,Converted DO from % to ug/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html ; Climate data for Amsterdam from climate-data.org ; Widths from Google Earth
"Pelsma, KAJ; Verhagen, DAM; Dean, JF; Jetten, MSM; Welte, CU",Methanotrophic potential of Dutch canal wall biofilms is driven by Methylomonadaceae,2023,FEMS MICROBIOLOGY ECOLOGY,Netherlands,52.432889,4.833806,"Brackish canals (Dan Helder, Zandaam",8,March to July 2022,Once,0,10.8,873,NA,Temperate,15.85,NA,NA,NA,Yes-biofilm,Urban,Mineral,Hypertrophic,Perennial (assumed),Chamber,714.92,2.15,NA,NA,Converted from mmol CO2/CH4 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g CO2 (or 16.04 g CH4) * 365 d/y,7.41,7.75,3589.88,NA,NA,1.43,5.58,NA,NA,Converted DO from % to ug/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html ; Climate data for Alkmaar from climate-data.org ; Widths from Google Earth
"Pelsma, KAJ; Verhagen, DAM; Dean, JF; Jetten, MSM; Welte, CU",Methanotrophic potential of Dutch canal wall biofilms is driven by Methylomonadaceae,2023,FEMS MICROBIOLOGY ECOLOGY,Netherlands,51.49575,3.609417,Saline canal (Middelburg),6,March to July 2022,Once,0,11.1,867,NA,Temperate,23.85,NA,NA,NA,Yes-algae and biofilm,Urban,Mineral,Eutrophic,Perennial (assumed),Chamber,64.73,0.65,NA,NA,Converted from mmol CO2/CH4 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g CO2 (or 16.04 g CH4) * 365 d/y,11,8.69,19301.67,NA,NA,0.79,0.11,NA,NA,Converted DO from % to ug/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html ; Climate data for Vlissingen from climate-data.org ; Widths from Google Earth
"Pönisch, DL; Breznikar, A; Gutekunst, CN; Jurasinski, G; Voss, M; Rehder, G","Nutrient release and flux dynamics of CO2, CH4, and N2O in a coastal peatland driven by actively induced rewetting with brackish water from the Baltic Sea",2023,BIOGEOSCIENCES,Germany,54.372222,13.243333,Coastal peatland ditch,1,June 2019 to November 2020,11 sampling occasions,0,9.1,626,NA,Temperate oceanic,7.89,2,NA,NA,NA,Agriculture,Organic (peat),NA,Perennial (assumed),Both,1837.54,55.57,NA,0.14,Converted from mg of CH4 and N2O * 1e-3 *24h/d * 365 days. Converted from g CO2 *24h/d * 365 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emailed author for ditch water chemistry data. CO2 and CH4 values are pooled from pre- and post-wetting GHG values as they were similar. N2O values are post re-wetting only. GHG estimates include both chamber and concentration measurments (no sig difference)
"Reay, DS; Smith, KA; Edwards, AC",Nitrous oxide emission from agricultural drainage waters,2003,GLOBAL CHANGE BIOLOGY,Scotland,55.833333,-3.4,Boghall drainage ditch,1,"November, 2001",Once,320,8.3,969,NA,Temperate,0.4,0.15,0.3,0.0023,NA,Agriculture,Mineral,Eutrophic,Perennial (assumed),Chamber,NA,NA,NA,6.14,Converted from ug N m-2 h-1 * 1e-6 (ug to g) * 44/28 (conversion factor from N2O-N to N2O) * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,21.08,NA,NA,Assumed eutrophic due to fertilization. Climate data for Edinburgh from climate-data.org 
"Schrier-Uijl, AP; Veraart, AJ; Leffelaar, PA; Berendse, F; Veenendaal, EM",Release of CO2 and CH4 from lakes and drainage ditches in temperate wetlands,2011,BIOGEOCHEMISTRY,Netherlands,52.4,5.5,Drainage ditches,3,"June 16 to July 6, 2009",Once,0,10.7,844,NA,Temperate,4.33,0.48,NA,NA,Yes-aquatic vegetation,Agriculture,Organic (peat),Eutrophic,Perennial (assumed),Chamber,432.38,63.19,NA,NA,Converted from mg m-2 d-1 * 1e-3 (mg to g) *24 h/d *365 d/y / 0.7 because authors noted that these summer emissions make up 70% of annual emissions,NA,7.73,511.77,NA,NA,NA,0,NA,NA,"Ditch locations various across Netherlands, used coordinates for central location. Climate data for Amsterdam from climate-data.org GHG values confirmed with Evans Wetland Supplement"
"Schrier-Uijl, AP; Veraart, AJ; Leffelaar, PA; Berendse, F; Veenendaal, EM",Release of CO2 and CH4 from lakes and drainage ditches in temperate wetlands,2011,BIOGEOCHEMISTRY,Netherlands,52.4,5.5,Drainage ditches,4,"June 16 to July 6, 2009",Once,0,10.7,844,NA,Temperate,4.5,0.6,NA,NA,Yes-aquatic vegetation,Agriculture,Organic (peat),Mesotrophic,Perennial (assumed),Chamber,354.6,55.29,NA,NA,Converted from mg m-2 d-1 * 1e-3 (mg to g) *24 h/d *365 d/y / 0.7 because authors noted that these summer emissions make up 70% of annual emissions,NA,7.45,359.63,NA,NA,NA,0,NA,NA,"Ditch locations various across Netherlands, used coordinates for central location. Climate data for Amsterdam from climate-data.org GHG values confirmed with Evans Wetland Supplement"
"Panneer Selvam, B; Natchimuthu, S; Arunachalam, L; Bastviken, D",Methane and carbon dioxide emissions from inland waters in India - implications for large scale greenhouse gas balances,2014,GLOBAL CHANGE BIOLOGY,India,11.47283,76.81752,Canal KOMK C1,1,January to April 2011,Once,1513,25.4,952,NA,Tropical,NA,NA,NA,NA,No,Agriculture,Mineral,Eutrophic,Perennial (assumed),Chamber,963.66,1.99,26.93,NA,Converted from mmol of CO2 or CH4 m-2 d-1 * 1e-3 (mmol to mol) * 44.01g (CO2) or 16.04 g (CH4) * 365 d/y,NA,7.54,530,NA,NA,NA,NA,NA,NA,Climate data for Coimbatore from climate-data.org
"Panneer Selvam, B; Natchimuthu, S; Arunachalam, L; Bastviken, D",Methane and carbon dioxide emissions from inland waters in India - implications for large scale greenhouse gas balances,2014,GLOBAL CHANGE BIOLOGY,India,9.444734,77.03878,"Canal KAAK, Canal TMPC C1",2,January to April 2011,Once,42,27.1,1744,NA,Tropical,16.28,NA,NA,NA,Yes- submerged and floating macrophytes,Agriculture,Mineral,Eutrophic,Perennial (assumed),Chamber,290.27,1.46,4.98,NA,Converted from mmol of CO2 or CH4 m-2 d-1 * 1e-3 (mmol to mol) * 44.01g (CO2) or 16.04 g (CH4) * 365 d/y,NA,7.475,217,NA,NA,NA,NA,NA,NA,Climate data for Thrissur from climate-data.org and Climate data for Tirunelveli from climate-data.org . Widths estimated from Google Earth. 
"Strack, M; Zuback, YCA",Annual carbon balance of a peatland 10 yr following restoration,2013,BIOGEOSCIENCES,Canada,47.9671,-69.4285,Ditch (unrestored),1,"Growing season May 15 to October 15. Non-growing season January, February, and March","Growing season several times per month. Non-growing season, once per month",10,3.2,963,NA,Temperate,NA,NA,NA,NA,"Yes-moss, vascular plants, some shrubs",Agriculture,Organic (peat),NA,Intermittently dry (assumed),Chamber,1799.2,20.77,NA,NA,"Converted from g CO2-C m-2 (growing season and non-growing season) / number of days in each season (184 growing season, 181 non-growing season) * 44.01/12.01 (conversion factor from CO2-C to CO2 OR 16/04/12.01 (conversion factor from CH4-C to CH4) * 365. Then used an average of non-/growing season values",NA,NA,NA,NA,NA,NA,NA,NA,NA,Used permanently installed collars not floating chambers for ditch measurements. Restored ditch measurements were not measured directly. 
"Sundh, I; Nilsson, M; Mikkelä, C; Granberg, G; Svensson, BH",Fluxes of methane and carbon dioxide on peat-mining areas in Sweden,2000,AMBIO,Sweden,62.19444,17.62778,Ditches,6,June to September 1995,"Every 2nd week, June to September",163,7.3,619,NA,Boreal,0.5,NA,NA,NA,Yes-majority vegetated,Forest,Organic (peat),Oligotrophic,Intermittently dry ,Chamber,325.02,43.01,NA,NA,Converted from mg m-2 hr-1 *1e-3 * 24 h/d * growing season length (170 in the north and 190 in the south),NA,NA,NA,NA,NA,NA,NA,NA,NA,Used permanently installed collars not floating chambers for ditch measurements. Considered sometimes dry and oligotrophic by Peacock et al 2021. Coordinates/elevation/emissions an average of the 6 sites across northern and southern Sweden. Climate data for Stockholm from climate-data.org GHG values confirmed with Evans Wetland Supplement
"Teh, YA; Silver, WL; Sonnentag, O; Detto, M; Kelly, M; Baldocchi, DD",Large Greenhouse Gas Emissions from a Temperate Peatland Pasture,2011,ECOSYSTEMS,USA,38.04,-121.75,Drainage ditch,1,10 April 2007 to 28 May 2008,Weekly,0,15.6,325,NA,Temperate,5.15,0.075,NA,NA,NA,Pasture (rangeland),Organic (peat),Eutrophic,Perennial,Chamber,1738.78,227.36,NA,1.49,Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion factor CH4-C to CH4) * 365d. Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion factor from CO2-C to CO2)* 365 d. Converted from g N2O-N m-2 d-1 * 44.01/28.04 (conversion factor from N2O-N to N2O) * 365 d,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water levels in ditches were sufficiently low (5-10cm) that floating chambers were not required. Ditch widths from Google Earth. CH4 flux may include some ebullition measures, unclear. GHG values confirmed with Evans Wetland Supplement and Peacock et al 2021"
"Tian, LL; Akiyama, H; Zhu, B; Shen, X",Indirect N2O emissions with seasonal variations from an agricultural drainage ditch mainly receiving interflow water,2018,ENVIRONMENTAL POLLUTION,China,31.266667,105.466667,Drainage ditches,5,"December 1 to November 30 (2012-2013, 2013-2014, 2014-2015)",1-2 times per week,500,17.3,836,NA,Subtropical,0.7,0.035,slow,NA,Yes-ruderal weeds,Agriculture,Mineral,Eutrophic,Intermittently dry,Chamber,NA,NA,NA,0.09,Converted from ug N2O-N m-2 h-1 * 1e-6 (ug to g) * 44.01/28.02 (conversion N2O-N to N2O) * 24 h/d * 365 d/y,NA,7.56,NA,2.24,NA,NA,16.08,NA,NA,"Water depth too shallow for floating chambers, so static chambers were installed"
"Tian, LL; Zhu, B; Akiyama, H",Seasonal variations in indirect N2O emissions from an agricultural headwater ditch,2017,BIOLOGY AND FERTILITY OF SOILS,China,31.266667,105.466667,Agricultural headwater drainage ditch (Vegetated),1,December 2014 to November 2015,1-2 times per week,500,17.3,826,NA,Subtropical,0.7,0.035,slow,NA,Yes,Agriculture,Mineral,Eutrophic,Intermittently dry,Chamber,6355.91,NA,NA,0.22,Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 conversion factor from CO2-C to CO2 * 24 h/d * 365 d/y. Converted from ug N2O-N m-2 h-1 * 1e-6 (ug to g) * 44.01/28.01 (conversion factor from N2O-N to N2O) * 24 h/d * 365 d/y,NA,7.58,NA,2.27,NA,NA,6.27,NA,NA,
"Tian, LL; Zhu, B; Akiyama, H",Seasonal variations in indirect N2O emissions from an agricultural headwater ditch,2017,BIOLOGY AND FERTILITY OF SOILS,China,31.266667,105.466667,Agricultural headwater drainage ditch (Vegetation removed),1,December 2014 to November 2015,1-2 times per week,500,17.3,826,NA,Subtropical,0.7,0.035,slow,NA,No,Agriculture,Mineral,Eutrophic,Intermittently dry,Chamber,1296.86,NA,NA,0.13,Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 conversion factor from CO2-C to CO2 * 24 h/d * 365 d/y. Converted from ug N2O-N m-2 h-1 * 1e-6 (ug to g) * 44.01/28.01 (conversion factor from N2O-N to N2O) * 24 h/d * 365 d/y,NA,7.58,NA,2.27,NA,NA,6.27,NA,NA,
"Tong, CHM; Nilsson, MB; Sikström, U; Ring, E; Drott, A; Eklöf, K; Futter, MN; Peacock, M; Segersten, J; Peichl, M",Initial effects of post-harvest ditch cleaning on greenhouse gas fluxes in a hemiboreal peatland forest,2022,GEODERMA,Sweden,60.265,17.617,Uncleaned ditches (UC),3,May to November 2018 and 2019 ,Monthly,40,6.2,603,NA,Temperate,1.3,0.045,NA,NA,"Yes-Juncus, plants, mosses",Forest,Organic (peat),Eutrophic,Intermittently dry,Chamber,1148.06,0.81,NA,NA,Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 conversion factor from CO2-C to CO2 * 24 h/d * 214 day growing season (snow free period). Converted from ug CH4-C m-2 h-1 * 1e-6 (ug to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 24h/d * 214 day growing season,NA,7,NA,NA,NA,NA,NA,NA,NA,Growing season is May to October (snow free period). Ditch width estimate from Google Earth.
"Tong, CHM; Nilsson, MB; Sikström, U; Ring, E; Drott, A; Eklöf, K; Futter, MN; Peacock, M; Segersten, J; Peichl, M",Initial effects of post-harvest ditch cleaning on greenhouse gas fluxes in a hemiboreal peatland forest,2022,GEODERMA,Sweden,60.265,17.617,Cleaned ditches (DC),3,May to November 2018 and 2019 ,Monthly,40,6.2,603,NA,Temperate,1.3,0.045,NA,NA,No,Forest,Organic (peat),Eutrophic,Intermittently dry,Chamber,1035.13,0.05,NA,NA,Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 conversion factor from CO2-C to CO2 * 24 h/d * 214 day growing season (snow free period). Converted from ug CH4-C m-2 h-1 * 1e-6 (ug to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 24h/d * 214 day growing season,NA,7,NA,NA,NA,NA,NA,NA,NA,Growing season is May to October (snow free period). Ditch width estimate from Google Earth.
"Vanags-Duka, M; Bardule, A; Butlers, A; Upenieks, EM; Lazdins, A; Purvina, D; Licite, I",GHG Emissions from Drainage Ditches in Peat Extraction Sites and Peatland Forests in Hemiboreal Latvia,2022,LAND,Latvia,56.94428533,25.45518867,Ditches (peatland extraction sites),6,March to December 2021,Monthly,177,6.8,685.6,NA,Hemiboreal,1.67,0.36,NA,NA,NA,Wetland,Organic (peat),Hypertrophic,Intermittently dry,Chamber,393.02,10.43,NA,NA,"Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 304 days (growing season/frost-free period. Same for CH4-C, except using the conversion factor of 16.04/12.01",NA,5.57,74.47,108.93,NA,5.23,NA,NA,NA,Ditches were empty of water for most of the year. Include a comparison of dry vs water-filled ditch emissions. Coordinates/masl are an average of estimates from the provided map. 
"Vanags-Duka, M; Bardule, A; Butlers, A; Upenieks, EM; Lazdins, A; Purvina, D; Licite, I",GHG Emissions from Drainage Ditches in Peat Extraction Sites and Peatland Forests in Hemiboreal Latvia,2022,LAND,Latvia,57.0027775,25.1954165,Ditches (peatland forests),4,March to December 2021,Monthly,91,6.8,685.6,NA,Hemiboreal,2.39,0.0675,NA,NA,NA,Forest,Organic (peat),Hypertrophic,Intermittently dry,Chamber,3652.11,0.83,NA,NA,"Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 304 days (growing season/frost-free period. Same for CH4-C, except using the conversion factor of 16.04/12.01",NA,6.25,178.5,75.25,NA,2.73,NA,NA,NA,Ditches were empty of water for most of the year. Include a comparison of dry vs water-filled ditch emissions. Coordinates/masl are an average of estimates from the provided map. 
"Huotari, J; Nykänen, H; Forsius, M; Arvola, L;",Effect of catchment characteristics on aquatic carbon export from a boreal catchment and its importance in regional carbon ,2013,GLOBAL CHANGE BIOLOGY,Finland,61.035833,25.007222,Ditch (site 11),1,June 10 2011 to May 23 2012,"Weekly (every second week in September and October, and monthly from December to May)",149,4.2,645,NA,Boreal,0.5,NA,NA,NA,NA,Forest,Organic (peat),Oligotrophic,Intermittently dry,Concentration,6266.2,53.62,NA,NA,Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion factor CH4-C to CH4) * 365d/y. Converted g C m-2 y-1 * 44.01/12.01 (conversion factor from C to CO2) for the <2m size class,NA,3.9,73,70.5,NA,NA,NA,NA,NA,"From Chris 2013 IPCC work. Lack of info but site 11 is a ditch. They note CH4 flux from site 11 (value and nutrient status confirmed with Peacock et al 2021), but not CO2. I emailed the author with no reply, thus used the <2m size class for CO2 (the smallest width class includes, and is mainly composed of peatland drainage ditches). The site dried out during the summer, and was not sampled when dry. Considered oligotrophic by Peacock et al 2021"
